Departamento,Ene-2020,Feb-2020,Mar-2020,Abr-2020,May-2020,Jun-2020,Jul-2020,Ago-2020,Sep-2020,Oct-2020,Nov-2020,Dic-2020,Ene-2021,Feb-2021,Mar-2021,Abr-2021,May-2021,Jun-2021,Jul-2021,Ago-2021,Sep-2021,Oct-2021,Nov-2021,Dic-2021,Ene-2022,Feb-2022,Mar-2022,Abr-2022,May-2022,Jun-2022,Jul-2022,Ago-2022,Sep-2022,Oct-2022,Nov-2022,Dic-2022,Ene-2023,Feb-2023,Mar-2023,Abr-2023,May-2023,Jun-2023,Jul-2023,Ago-2023,Sep-2023,Oct-2023,Nov-2023,Dic-2023,Ene-2024,Feb-2024,Mar-2024,Abr-2024,May-2024,Jun-2024,Jul-2024,Ago-2024,Sep-2024,Oct-2024,Nov-2024,Dic-2024
Amazonas,15.72,15.91,15.83,15.08,15.0,14.94,14.19,14.75,14.85,14.83,15.84,15.06,14.73,15.49,14.66,14.7,14.66,14.46,13.79,14.68,14.66,15.28,15.0,15.38,15.01,14.72,14.63,14.44,14.38,13.33,14.04,13.98,14.7,15.07,15.44,15.42,14.75,14.74,14.91,14.74,15.24,14.34,15.27,15.75,16.34,16.48,16.66,16.04,15.78,16.21,16.22,15.99,16.25,15.6,15.08,15.58,16.4,16.0,16.7,15.62
Áncash,13.92,14.33,13.59,13.5,13.46,13.29,13.69,14.15,13.89,13.66,13.88,12.87,12.98,13.2,12.69,13.28,12.86,13.21,13.1,13.93,13.32,13.11,12.7,13.07,12.74,12.81,12.65,12.84,12.33,12.03,13.23,13.91,13.56,13.32,13.78,12.49,12.37,13.06,12.59,12.69,12.99,13.45,14.57,14.91,14.71,14.1,13.78,14.36,14.42,14.39,14.27,14.15,14.32,14.36,14.56,15.14,15.79,13.79,13.34,13.56
Apurímac,17.72,17.93,17.65,17.6,17.47,16.99,16.87,16.88,16.95,17.48,18.7,17.4,16.78,17.37,16.58,16.61,16.52,16.32,16.16,16.52,17.06,18.17,17.88,18.13,17.07,16.97,16.92,17.46,16.72,15.98,16.8,16.36,17.15,18.13,18.13,17.31,17.0,17.05,16.94,17.1,17.07,16.78,16.97,17.31,17.43,18.32,18.55,18.52,18.45,18.24,18.02,18.15,18.13,17.35,16.4,16.76,17.66,17.99,18.01,17.55
Arequipa,15.85,15.04,14.79,15.8,16.04,14.66,13.68,14.69,15.72,16.62,16.04,15.26,14.87,15.81,14.65,15.9,15.24,14.35,15.04,14.8,16.26,16.26,15.62,16.22,15.43,14.85,14.37,15.48,15.08,13.72,14.57,14.68,15.1,15.25,15.79,14.91,14.77,14.45,14.51,15.09,16.07,15.07,15.62,16.2,16.74,17.08,17.43,17.89,17.49,16.43,16.3,16.75,16.76,15.52,15.17,15.36,17.08,16.95,15.98,16.32
Ayacucho,16.11,16.36,15.77,15.74,15.5,15.6,15.53,16.21,16.41,16.19,18.31,16.11,15.19,16.06,15.23,15.09,14.77,14.59,14.63,15.42,16.64,16.88,16.12,16.16,15.35,14.69,14.85,15.12,14.99,14.06,15.08,15.11,16.12,17.02,17.22,15.78,15.23,14.94,14.9,15.16,14.68,14.88,15.77,16.78,16.95,18.0,17.7,17.19,16.7,16.24,16.47,16.28,15.85,14.81,14.78,15.8,17.41,17.34,16.55,16.07
Cajamarca,13.98,14.47,13.96,13.93,13.98,13.94,13.78,14.6,14.93,14.64,14.62,13.21,13.25,13.55,12.87,13.63,13.25,13.07,13.69,14.26,14.21,13.51,12.71,13.21,12.89,12.78,12.65,13.09,12.59,11.92,13.54,13.97,13.89,13.3,14.32,13.4,12.66,13.49,12.77,13.08,13.75,13.68,14.63,14.95,15.64,14.1,14.21,14.35,14.53,14.17,14.33,14.01,14.03,13.44,14.66,15.01,15.85,13.81,13.64,13.28
Cusco,12.15,12.49,12.12,11.4,10.87,10.7,10.7,11.25,11.35,11.76,13.12,12.13,11.6,11.88,11.21,10.94,10.65,10.5,9.88,10.66,11.42,12.43,12.07,12.36,11.42,11.61,11.1,11.26,10.8,9.6,10.2,10.62,11.7,12.45,12.61,11.83,11.35,11.6,11.37,10.98,10.56,9.97,11.22,11.29,11.75,13.15,12.84,12.79,13.17,12.7,12.54,12.22,12.44,11.23,10.75,12.01,12.4,12.84,12.5,12.09
Huancavelica,9.41,10.02,9.35,8.51,8.05,7.61,7.51,8.4,8.2,8.22,9.45,9.28,9.05,8.95,8.7,8.38,7.31,7.28,6.78,7.6,8.26,8.91,8.54,9.28,8.64,8.78,8.79,8.24,7.26,6.43,7.49,7.66,8.48,8.61,8.76,8.42,8.19,9.0,8.83,8.24,7.75,6.97,8.08,8.68,8.58,9.69,9.79,10.1,10.34,10.2,10.3,9.49,8.94,7.84,7.64,8.37,9.23,9.17,9.3,9.34
Huánuco,19.74,19.83,19.26,19.22,18.92,18.61,18.49,19.05,19.33,19.65,19.95,19.33,18.7,19.42,18.89,19.01,18.82,18.46,18.28,18.78,19.25,19.81,19.21,19.44,19.08,18.65,18.69,18.84,18.26,17.57,18.45,17.8,19.23,19.57,19.58,19.12,18.65,18.96,18.72,18.95,18.99,17.87,18.9,19.62,20.18,20.52,20.31,20.11,20.13,20.34,20.1,20.0,19.73,18.96,18.91,19.48,20.16,20.25,19.88,19.81
Ica,24.32,25.64,25.82,24.1,20.81,17.77,16.66,16.79,18.08,20.28,20.66,22.7,24.69,25.78,25.63,23.38,20.23,17.66,17.12,17.01,18.28,19.4,20.7,22.24,24.3,24.72,25.2,22.17,18.82,16.28,15.78,15.93,16.46,18.07,20.54,23.32,25.44,25.89,25.74,24.65,20.28,18.03,17.86,18.55,19.39,21.92,22.18,24.15,25.77,26.87,26.66,24.7,20.45,17.66,16.41,16.56,18.59,20.74,21.84,23.95
