Departamento,Fechas,Lugar,Festividades
Amazonas,Febrero (Movible),Todo el departamento,Carnavales.
Amazonas,1-6 de mayo,Todo el departamento,Fiesta de las Cruces.
Amazonas,24 de junio,Bongará,Fiesta de San Juan.
Amazonas,25-29 de junio,Todo el departamento,Festividad de San Pedro y San Pablo.
Amazonas,Movible,Chachapoyas,Semana Turística.
Amazonas,24-25 de julio,Uctubamba,Fiesta del Apóstol Santiago.
Amazonas,29 de julio,Chachapoyas,Fiesta Patronal de la Virgen del Carmen.
Amazonas,15 de agosto,Chachapoyas,Fiesta Patronal de la Virgen Asunta.
Amazonas,5 de setiembre,"Chachapoyas, Rodríguez de Mendoza","Aniversario de la fundación de la ciudad.
Fiesta Patronal de San Nicolás."
Amazonas,14 de setiembre,Lamud,Fiesta Patronal del Señor de Gualamita.
Amazonas,18 de octubre,"Chachapoyas, Bongará","Fiesta Patronal del Señor de los Milagros.
Fiesta Patronal de San Lucas."
Amazonas,2 de noviembre,Chachapoyas,Día de los difuntos.
Amazonas,21 de noviembre,Chachapoyas,Aniversario del departamento.
Amazonas,Todos los miércoles de diciembre,Chachapoyas,Velación del Niño Jesús.
Ancash,1 de enero,Corongo,"Fiesta del Año Nuevo de los Jueces de
Agua"
Ancash,1 de enero,Huaraz,Danza de los Negritos y el Niño Jesús
Ancash,6 de enero,Huancabamba,Herodes del Balcón y Tres Reyes
Ancash,20 de enero,Huaraz,Festival de San Sebastián
Ancash,20 de enero,Huaraz,"Caraz, San Sebastián, Recuay Fiesta de
la Virgen de Chinquinquirá"
Ancash,Febrero,Huaraz,Carnaval Huachihualito y Cortamonte
Ancash,6 de febrero,Huaylas,Fiesta de la Virgen de Lourdes
Ancash,15 de febrero,Aija,Fiesta de la Virgen de la Candelaria
Ancash,Domingo de Ramos,Porcón,Fiesta de las Cruces
Ancash,Domingo de Ramos,Huancabamba,Procesión del Señor en burro vivo
Ancash,Marzo-abril,Áncash,Semana Santa
Ancash,3 de marzo,Bolognesi (Cochas),Fiesta Patronal
Ancash,6 de marzo,Huaraz (Jangas),San José-
Ancash,27 de abril,Tayabamba,Fiesta de Santo Toribio de Mogrovejo
Ancash,27 de abril,Huaylas,Santo Toribio
Ancash,27 de abril,Huaylas,"Día del Milagro, Santo Toribio"
Ancash,16 de mayo,Huaraz,"El Señor de Mayo y la Exaltación
de la Santísima cruz"
Ancash,3 de mayo,Bolognesi,Fiesta Patronal del Señor de Cahucayán
Ancash,3-11 de mayo,Huaraz,El Señor de la Soledad
Ancash,15 de mayo,Huaraz,San Isidro
Ancash,Junio,Huancabamba,Corpus Christi
Ancash,8 de junio,Áncash,Fiesta de la Virgen Purísima
Ancash,13 de junio,Pallasca,San Antonio
Ancash,16 de junio,"Aija, Corongo, Santa",Fiesta de San Pedro
Ancash,24 de junio,Huaraz,San Juan
Ancash,24 de junio,"Pallasca, Huánuco",Fiesta de San Juan
Ancash,29 de junio,"Caraz, Corongo",Fiesta de San Pedro y San Pablo
