departamento,lugar_recomendado,descripcion,precio,duracion,url
Amazonas,Habitación en Chachapoyas,Acogedora habitación,S/280,por 5 noches,https://www.airbnb.com.pe/rooms/1121126523340372406?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-07-10&check_out=2025-07-15&children=0&infants=0&pets=0&photo_id=1869523499&source_impression_id=p3_1752048123_P3sJF3Yx7Y3--_nK&previous_page_section_name=1000&federated_search_id=f1bf8397-9484-4e86-9fcf-8b7f8ea1a427
Amazonas,Alojamiento en Chachapoyas,Acogedora casa en Chachapoyas,S/504,por 5 noches,https://www.airbnb.com.pe/rooms/922320818379364021?search_mode=regular_search&adults=1&check_in=2025-07-09&check_out=2025-07-14&children=0&infants=0&pets=0&source_impression_id=p3_1752048126_P3gRH1PSY7qSIzTB&previous_page_section_name=1000&federated_search_id=f1bf8397-9484-4e86-9fcf-8b7f8ea1a427
Amazonas,Habitación en Chachapoyas,Casa Z,S/268,por 5 noches,https://www.airbnb.com.pe/rooms/1411985978634585272?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-07-09&check_out=2025-07-14&children=0&infants=0&pets=0&photo_id=2160927717&source_impression_id=p3_1752048126_P3XBbxIfkN24p5No&previous_page_section_name=1000&federated_search_id=f1bf8397-9484-4e86-9fcf-8b7f8ea1a427
Amazonas,Apartamento en Chachapoyas,Acogedor apartamento con balcón,S/630,por 5 noches,https://www.airbnb.com.pe/rooms/1261031126767755709?search_mode=regular_search&adults=1&check_in=2025-07-15&check_out=2025-07-20&children=0&infants=0&pets=0&source_impression_id=p3_1752048126_P3h_DRcrHAxOvcPW&previous_page_section_name=1000&federated_search_id=f1bf8397-9484-4e86-9fcf-8b7f8ea1a427
Amazonas,Hotel en Chachapoyas,Tu estancia perfecta en Chachapoyas.,S/249,por 5 noches,https://www.airbnb.com.pe/rooms/1434829707073676241?search_mode=regular_search&adults=1&check_in=2025-07-09&check_out=2025-07-14&children=0&infants=0&pets=0&source_impression_id=p3_1752048126_P36Z3na4tPPhQgv1&previous_page_section_name=1000&federated_search_id=f1bf8397-9484-4e86-9fcf-8b7f8ea1a427
Amazonas,Apartamento en Chachapoyas,"Hermoso departamento con dos cuartos , chimenea",S/762,por 5 noches,https://www.airbnb.com.pe/rooms/619118534583885849?search_mode=regular_search&adults=1&check_in=2025-07-19&check_out=2025-07-24&children=0&infants=0&pets=0&source_impression_id=p3_1752048126_P3UsdErNcsU7QQlH&previous_page_section_name=1000&federated_search_id=f1bf8397-9484-4e86-9fcf-8b7f8ea1a427
Amazonas,Suite de invitados en Chachapoyas,Acogedora habitación privada,S/285,por 5 noches,https://www.airbnb.com.pe/rooms/719109250652538149?search_mode=regular_search&adults=1&check_in=2025-07-19&check_out=2025-07-24&children=0&infants=0&pets=0&source_impression_id=p3_1752048126_P3OrPkOgmPDyDcTk&previous_page_section_name=1000&federated_search_id=f1bf8397-9484-4e86-9fcf-8b7f8ea1a427
Amazonas,Apartamento en Chachapoyas,Lindo minidepartamento céntrico Chachapoyas,S/698,por 5 noches,https://www.airbnb.com.pe/rooms/958064486468546685?search_mode=regular_search&adults=1&check_in=2025-07-10&check_out=2025-07-15&children=0&infants=0&pets=0&source_impression_id=p3_1752048126_P37gzB2HYnKZF9gC&previous_page_section_name=1000&federated_search_id=f1bf8397-9484-4e86-9fcf-8b7f8ea1a427
Amazonas,Condo en Chachapoyas,Dpto entero con vista a la montañas y la ciudad,S/836,por 5 noches,https://www.airbnb.com.pe/rooms/1372170573620306940?search_mode=regular_search&adults=1&check_in=2025-07-09&check_out=2025-07-14&children=0&infants=0&pets=0&source_impression_id=p3_1752048126_P3DZSJ42590tRR1n&previous_page_section_name=1000&federated_search_id=f1bf8397-9484-4e86-9fcf-8b7f8ea1a427
Amazonas,Alojamiento en Chachapoyas,La cabaña de Chachapoyas,S/782,por 5 noches,https://www.airbnb.com.pe/rooms/1360366513148402767?search_mode=regular_search&adults=1&check_in=2025-07-09&check_out=2025-07-14&children=0&infants=0&pets=0&source_impression_id=p3_1752048126_P3rCp4i7UWZtBLWU&previous_page_section_name=1000&federated_search_id=f1bf8397-9484-4e86-9fcf-8b7f8ea1a427
Áncash,Habitación en Huaraz,Habitación en Departamento +Baño Compartido | 301C,S/189,por 5 noches,https://www.airbnb.com.pe/rooms/1441253836157744188?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-07-11&check_out=2025-07-16&children=0&infants=0&pets=0&photo_id=2209288620&source_impression_id=p3_1752048137_P3neG4LCNonK8Qig&previous_page_section_name=1000&federated_search_id=8804b038-40c4-49c7-ac96-dc23a1083b4b
Áncash,Apartamento en Huaraz,Departamento moderno y acogedor,S/746,por 5 noches,https://www.airbnb.com.pe/rooms/1429953238599097341?search_mode=regular_search&adults=1&check_in=2025-07-13&check_out=2025-07-18&children=0&infants=0&pets=0&source_impression_id=p3_1752048139_P3nU6LJqJd0lH8uw&previous_page_section_name=1000&federated_search_id=8804b038-40c4-49c7-ac96-dc23a1083b4b
Áncash,Casa de huéspedes en Huaraz,Habitación con Baño privado!,S/321,por 5 noches,https://www.airbnb.com.pe/rooms/1213867388618999683?search_mode=regular_search&adults=1&check_in=2025-07-13&check_out=2025-07-18&children=0&infants=0&pets=0&source_impression_id=p3_1752048139_P3T8Mf4jKUdgYVZ0&previous_page_section_name=1000&federated_search_id=8804b038-40c4-49c7-ac96-dc23a1083b4b
Áncash,Apartamento en Huaraz,Céntrico y Acogedor,S/584,por 5 noches,https://www.airbnb.com.pe/rooms/1303918162128427860?search_mode=regular_search&adults=1&check_in=2025-07-18&check_out=2025-07-23&children=0&infants=0&pets=0&source_impression_id=p3_1752048139_P3bZfxABkof442EG&previous_page_section_name=1000&federated_search_id=8804b038-40c4-49c7-ac96-dc23a1083b4b
Áncash,Apartamento en Huaraz,Amplio y acogedor,S/206,por 5 noches,https://www.airbnb.com.pe/rooms/1086095691114913727?search_mode=regular_search&adults=1&check_in=2025-07-10&check_out=2025-07-15&children=0&infants=0&pets=0&source_impression_id=p3_1752048139_P3Fcz2woZUoLiEFE&previous_page_section_name=1000&federated_search_id=8804b038-40c4-49c7-ac96-dc23a1083b4b
Áncash,Habitación en Huaraz,Habitación matrimonial. bien ambientada,S/257,por 5 noches,https://www.airbnb.com.pe/rooms/654446928618865135?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-07-14&check_out=2025-07-19&children=0&infants=0&pets=0&photo_id=1429564385&source_impression_id=p3_1752048139_P3N-P_YcRbMvk_2l&previous_page_section_name=1000&federated_search_id=8804b038-40c4-49c7-ac96-dc23a1083b4b
