Departamento,Título,Resumen,Sección,Fecha,Enlace
Amazonas,1925: Expedición al Amazonas,¿Qué se comentaba en el Diario El Comercio un día como hoy hace 100 años?,Efemérides,09/06/2025,https://elcomercio.pe/opinion/efemerides/1925-expedicion-al-amazonas-noticia/
Amazonas,Iquitos: Turistas españoles asaltados por “piratas del río” durante tour por el Amazonas,"Los delincuentes armados interceptaron la embarcación y retuvieron a 14 personas, incluyendo niños y ancianos, durante más de una hora.",Loreto,20/05/2025,https://elcomercio.pe/peru/loreto/iquitos-turistas-espanoles-asaltados-por-piratas-del-rio-durante-tour-por-el-amazonas-ultimas-noticia/
Amazonas,Amazonas: Minedu bloquea a 469 docentes en Condorcanqui por denuncias de violencia sexual,"En total, 929 trabajadores del sector Educación han sido separados a nivel nacional por estar implicados en procesos judiciales.",Amazonas,20/05/2025,https://elcomercio.pe/peru/amazonas/amazonas-minedu-bloquea-a-469-docentes-en-condorcanqui-por-denuncias-de-violencia-sexual-noticia/
Amazonas,"El batán del Tayta, un restaurante para descubrir todo el potencial gastronómico de la región Amazonas","Además de maravillas como Kuélap y la catarata de Gocta, Amazonas tiene una rica oferta culinaria que el joven chef Nelson David Sancón destaca a...",Restaurantes,15/05/2025,https://elcomercio.pe/provecho/restaurantes/el-batan-del-tayta-un-restaurante-para-descubrir-todo-el-potencial-gastronomico-de-la-region-amazonas-chachapoyas-comida-amazonica-platos-carta-bebidas-restaurante-kuelap-gocta-noticia/
Amazonas,"Loreto: buque BAP se hunde en río Amazonas y deja dos muertos, un desaparecido y 30 tripulantes rescatados",La embarcación B.A.P ‘Ucayali’ chocó contra la plataforma fluvial ‘Manatí’ de propiedad de la compañia Perenco.,Loreto,02/05/2025,https://elcomercio.pe/peru/loreto/loreto-acciente-dembarcaciones-dos-muertos-un-desaparecido-y-30-tripulantes-rescatados-tras-hundimiento-de-buque-bap-marina-de-guerra-ultimas-noticia/
Amazonas,La novedosa plataforma móvil del Banco de la Nación que beneficiará a más de 40 comunidades en Amazonas: ¿Cómo funcionará esta embarcación?,Conoce la revolucionaria plataforma móvil del Banco de la Nación que navegará por el río Santiago para atender a comunidades nativas.,Tramites,25/04/2025,https://elcomercio.pe/respuestas/tramites/la-novedosa-plataforma-movil-del-banco-de-la-nacion-que-beneficiara-a-mas-de-40-comunidades-en-amazonas-como-funcionara-esta-embarcacion-tdpe-noticia/
Amazonas,Minería ilegal en Amazonas,"“Trabajan con el enemigo porque, si no, solo les esperan hambre y golpes. Entre la espada y la espada, su lucha es por sobrevivir”.",Voz Universitaria,22/02/2025,https://elcomercio.pe/opinion/voz-universitaria/mineria-ilegal-en-amazonas-por-carlos-mendives-torres-noticia/
Amazonas,"Alerta en Loreto: Maynas, Ucayali y Alto Amazonas en peligro por lluvias e inundaciones","Desde el 17 de febrero se reportan precipitaciones pluviales de fuerte y extrema intensidad en Maynas, Ucayali y Alto Amazonas. De acuerdo con Se...",Perú,19/02/2025,https://elcomercio.pe/peru/loreto-maynas-ucayali-y-alto-amazonas-en-peligro-por-lluvias-e-inundaciones-advierte-senamhi-ultimas-noticia/
Amazonas,Amazonas: Petroperú denuncia segundo ataque en una semana contra el Oleoducto Norperuano,"Según Petroperú, se trataría de un ataque intencional, el segundo en menos de una semana.",Perú,12/02/2025,https://elcomercio.pe/peru/amazonas-petroperu-denuncia-segundo-ataque-en-una-semana-contra-el-oleoducto-norperuano-ultimas-noticia/
Amazonas,Aterrizaje de emergencia en Amazonas: trasladan a Lima a policías heridos,"El ministro de Defensa, Walter Astudillo, acompañó el traslado a Lima de tres policías heridos tras un aterrizaje de emergencia en Amazonas.",Perú,17/01/2025,https://elcomercio.pe/peru/aterrizaje-de-emergencia-en-amazonas-trasladan-a-lima-a-policias-heridos-ultimas-noticia/
Amazonas,Amazonas: helicóptero de la PNP aterriza de emergencia con 11 efectivos | FOTOS,"El origen del accidente es investigado, y se han tomado las acciones necesarias para garantizar el bienestar de los efectivos involucrados que fu...",Amazonas,16/01/2025,https://elcomercio.pe/peru/amazonas/amazonas-helicoptero-de-la-policia-aterriza-de-emergencia-con-11-efectivos-mininter-ultimas-noticia/
Amazonas,Gilat Perú: “Hay necesidad de multiplicar la velocidad de Internet en Amazonas”,"La compañía israelí está a la espera de que se apruebe su operación en Amazonas. Además, analizarán  proyectos en Piura, Tumbes y Cajamarca, seña...",Día 1,06/01/2025,https://elcomercio.pe/economia/dia-1/internet-gilat-peru-hay-necesidad-de-multiplicar-la-velocidad-de-internet-en-amazonas-entrevista-telecomunicaciones-acceso-a-internet-proyectos-conexion-dispositivos-piura-tumbes-cajamarca-noticia/
Amazonas,Amazonas: registran por primera vez imágenes del oso de anteojos en la Reserva Tuntanain,"El oso de anteojos, también conocido como oso andino, es la única especie de este animal que habita en Sudamérica. Actualmente, está catalogado c...",País,27/12/2024,https://elcomercio.pe/videos/pais/registran-por-primera-vez-imagenes-del-oso-de-anteojos-video-nnav-tvpe-amazonas-reserva-tuntanain-camaras-noticia/
Amazonas,"Focos de Calor en Perú: Amazonas, Cajamarca y Áncash son las regiones más afectadas por el riesgos de incendios","Los focos de calor se han identificado en múltiples provincias a nivel nacional, según SERFOR.",Perú,19/11/2024,https://elcomercio.pe/peru/focos-de-calor-en-peru-amazonas-cajamarca-y-ancash-son-las-regiones-mas-afectadas-por-el-riesgos-de-incendios-serfor-ultimas-noticia/
Amazonas,Las Amazonitas de Cañete brillan en el Concurso Nacional de Coreografías de Amazonas del Caballo Peruano de Paso,El evento se celebró en la sede de la “Asociación Nacional de Criadores y Propietarios de Caballos Peruanos de Paso” en Mamacona,Polideportivo,12/11/2024,https://elcomercio.pe/deporte-total/polideportivo/las-amazonitas-de-canete-brillan-en-el-concurso-nacional-de-coreografias-de-amazonas-del-caballo-peruano-de-paso-noticia/
