Departamento,Festividad,Título del Video,URL
Amazonas,Carnavales.,Carnaval de Bagua - Amazonas - Perú (2023),https://www.youtube.com/watch?v=0SrFkcucWIw&pp=ygUaQ2FybmF2YWxlcy4gQW1hem9uYXMgUGVyw7o%3D
Amazonas,Fiesta de las Cruces.,Así se celebra la fiesta de las Cruces en Cajamarca | Celebra Perú,https://www.youtube.com/watch?v=F4bcK2NQ0qM&pp=ygUkRmllc3RhIGRlIGxhcyBDcnVjZXMuIEFtYXpvbmFzIFBlcsO6
Amazonas,Fiesta de San Juan.,Así se vive la tradicional fiesta de “San Juan” en la selva peruana,https://www.youtube.com/watch?v=PeYmpXJOV-M&pp=ygUiRmllc3RhIGRlIFNhbiBKdWFuLiBBbWF6b25hcyBQZXLDug%3D%3D
Amazonas,Festividad de San Pedro y San Pablo.,Ancón celebra con fe y alegría a San Pedro y San Pablo en su tradicional fiesta en el mar,https://www.youtube.com/watch?v=-gUd0esRyVg&pp=ygUzRmVzdGl2aWRhZCBkZSBTYW4gUGVkcm8geSBTYW4gUGFibG8uIEFtYXpvbmFzIFBlcsO6
Amazonas,Semana Turística.,Raymi Llaqta 2025: Todo sobre la semana turística de Amazonas #ROTATIVARPP | ENTREVISTA,https://www.youtube.com/watch?v=_XC1Ecnl304&pp=ygUhU2VtYW5hIFR1csOtc3RpY2EuIEFtYXpvbmFzIFBlcsO6
Amazonas,Fiesta del Apóstol Santiago.,"SET 1 PROGRAMA ESPECIAL AL APÓSTOL SANTIAGO, CABANA, PERÚ",https://www.youtube.com/watch?v=LzntEln3ecg&pp=ygUsRmllc3RhIGRlbCBBcMOzc3RvbCBTYW50aWFnby4gQW1hem9uYXMgUGVyw7o%3D
Amazonas,Fiesta Patronal de la Virgen del Carmen.,FIESTA PATRONAL HONOR A LA SANTISIMA VIRGEN DEL CARMEN - PATRONA DE LOS LACHAQUINOS - PARTE 1,https://www.youtube.com/watch?v=W2VPtBtRpUA&pp=ygU3Rmllc3RhIFBhdHJvbmFsIGRlIGxhIFZpcmdlbiBkZWwgQ2FybWVuLiBBbWF6b25hcyBQZXLDutIHCQnYCQGHKiGM7w%3D%3D
Amazonas,Fiesta Patronal de la Virgen Asunta.,PERÚ PROFUNDO 🇵🇪| Fiesta Patronal de la Virgen de Asunta en Chachapoyas (Amazonas)- 15 de agosto,https://www.youtube.com/watch?v=v-DXm7noqks&pp=ygUzRmllc3RhIFBhdHJvbmFsIGRlIGxhIFZpcmdlbiBBc3VudGEuIEFtYXpvbmFzIFBlcsO6
Amazonas,"Aniversario de la fundación de la ciudad.
Fiesta Patronal de San Nicolás.","Fiestas Patronales del distrito de Santa Rosa, Amazonas, Perú.",https://www.youtube.com/watch?v=lFsm9Wi_GEo&pp=ygVZQW5pdmVyc2FyaW8gZGUgbGEgZnVuZGFjacOzbiBkZSBsYSBjaXVkYWQuRmllc3RhIFBhdHJvbmFsIGRlIFNhbiBOaWNvbMOhcy4gQW1hem9uYXMgUGVyw7o%3D
Amazonas,Fiesta Patronal del Señor de Gualamita.,Fiesta patronal del Señor de Gualamita - 14 de Setiembre | PERÚ PROFUNDO 🇵🇪,https://www.youtube.com/watch?v=brXU7CKqtrI&pp=ygU3Rmllc3RhIFBhdHJvbmFsIGRlbCBTZcOxb3IgZGUgR3VhbGFtaXRhLiBBbWF6b25hcyBQZXLDug%3D%3D
Amazonas,"Fiesta Patronal del Señor de los Milagros.
Fiesta Patronal de San Lucas.",Huancas: Señor de los Milagros reúne a fieles y devotos en una procesión cargada de tradición y fe,https://www.youtube.com/watch?v=EFaW2yz4ZfQ&pp=ygVXRmllc3RhIFBhdHJvbmFsIGRlbCBTZcOxb3IgZGUgbG9zIE1pbGFncm9zLkZpZXN0YSBQYXRyb25hbCBkZSBTYW4gTHVjYXMuIEFtYXpvbmFzIFBlcsO6
Amazonas,Día de los difuntos.,Un día de los Fieles Difuntos tradicional en Luya | Amazonas,https://www.youtube.com/watch?v=boqgZX7kkVE&pp=ygUkRMOtYSBkZSBsb3MgZGlmdW50b3MuIEFtYXpvbmFzIFBlcsO6
Amazonas,Aniversario del departamento.,Amazonas se alista para celebrar su 190 aniversario,https://www.youtube.com/watch?v=zuVZTc_Au2s&pp=ygUsQW5pdmVyc2FyaW8gZGVsIGRlcGFydGFtZW50by4gQW1hem9uYXMgUGVyw7o%3D
Amazonas,Velación del Niño Jesús.,velación del niño Jesús y del señor de la buena esperanza Familia.Bermejo Muñoz.. GN Producciónes,https://www.youtube.com/watch?v=ctklFLDgnZA&pp=ygUqVmVsYWNpw7NuIGRlbCBOacOxbyBKZXPDunMuIEFtYXpvbmFzIFBlcsO6
Ancash,"Fiesta del Año Nuevo de los Jueces de
Agua",Los jueces de Agua de Corongo: Las Relimpias,https://www.youtube.com/watch?v=JUq29WaWqII&pp=ygU3Rmllc3RhIGRlbCBBw7FvIE51ZXZvIGRlIGxvcyBKdWVjZXMgZGVBZ3VhIEFuY2FzaCBQZXLDug%3D%3D
Ancash,Danza de los Negritos y el Niño Jesús,Visita Recreo Tres Hornitos - Cofradía Negritos Niño Jesús de la Esperanza 2013 #huánuco #tradición,https://www.youtube.com/shorts/81lwjZYgubc
Ancash,Herodes del Balcón y Tres Reyes,El rey Herodes y los 3 Reyes Magos de Oriente,https://www.youtube.com/watch?v=HPv4SfF1lGk&pp=ygUtSGVyb2RlcyBkZWwgQmFsY8OzbiB5IFRyZXMgUmV5ZXMgQW5jYXNoIFBlcsO6
Ancash,Festival de San Sebastián,La Fiesta de San Sebastián,https://www.youtube.com/watch?v=lKniEKWW1-c&pp=ygUnRmVzdGl2YWwgZGUgU2FuIFNlYmFzdGnDoW4gQW5jYXNoIFBlcsO6
Ancash,"Caraz, San Sebastián, Recuay Fiesta de
la Virgen de Chinquinquirá","#𝗖𝗔𝗥𝗔𝗭, #𝗛𝗨𝗔𝗬𝗟𝗔𝗦, #𝗔𝗡𝗖𝗔𝗦𝗛. Barrio CUMPAYHUARA. Espectacular Castillo de Fuegos Artificiales SanPedro",https://www.youtube.com/watch?v=KbnP8Qn-EtE&pp=ygVPQ2FyYXosIFNhbiBTZWJhc3Rpw6FuLCBSZWN1YXkgRmllc3RhIGRlbGEgVmlyZ2VuIGRlIENoaW5xdWlucXVpcsOhIEFuY2FzaCBQZXLDug%3D%3D
Ancash,Carnaval Huachihualito y Cortamonte,Carnaval de Usamasanga / Ancash / HupayMarka ( Nuevo Amanecer 2024 - Musuck Yllary ),https://www.youtube.com/watch?v=vF0dXPZQFhU&pp=ygUwQ2FybmF2YWwgSHVhY2hpaHVhbGl0byB5IENvcnRhbW9udGUgQW5jYXNoIFBlcsO6
Ancash,Fiesta de la Virgen de Lourdes,"Fiesta patronal ""Virgen de Lourdes"" huanchuy_ yungay_ancash_perú",https://www.youtube.com/watch?v=P5i_6ZMa4DI&pp=ygUrRmllc3RhIGRlIGxhIFZpcmdlbiBkZSBMb3VyZGVzIEFuY2FzaCBQZXLDutIHCQnYCQGHKiGM7w%3D%3D
Ancash,Fiesta de la Virgen de la Candelaria,La fiesta de la Virgen de la Candelaria en Puno,https://www.youtube.com/watch?v=svHORMXjZ5w&pp=ygUxRmllc3RhIGRlIGxhIFZpcmdlbiBkZSBsYSBDYW5kZWxhcmlhIEFuY2FzaCBQZXLDutIHCQnYCQGHKiGM7w%3D%3D
Ancash,Fiesta de las Cruces,Fiesta de las Cruces de Campo de Huaraz - Perú- carnavales huaracinos,https://www.youtube.com/watch?v=AWVcjGrFADU&pp=ygUhRmllc3RhIGRlIGxhcyBDcnVjZXMgQW5jYXNoIFBlcsO6
Ancash,Procesión del Señor en burro vivo,Semana Santa en Ayacucho: multitudinario fervor al Señor de la Resurrección,https://www.youtube.com/watch?v=x56W5fkqe5k&pp=ygUwUHJvY2VzacOzbiBkZWwgU2XDsW9yIGVuIGJ1cnJvIHZpdm8gQW5jYXNoIFBlcsO6
Ancash,Semana Santa,"Así se vive SEMANA SANTA en el PERÚ PROFUNDO (tradición, fe y devoción) | Jordy Aventurero",https://www.youtube.com/watch?v=HVaupGolBRE&pp=ygUZU2VtYW5hIFNhbnRhIEFuY2FzaCBQZXLDug%3D%3D
Ancash,Fiesta Patronal,FIESTA DE TAYA - PAROBAMBA ANCASH PERU,https://www.youtube.com/watch?v=m96IICZSZnc&pp=ygUcRmllc3RhIFBhdHJvbmFsIEFuY2FzaCBQZXLDug%3D%3D
Ancash,San José-,Pueblo de San Jose en Nepeña Ancash,https://www.youtube.com/watch?v=XwrZptDQxig&pp=ygUXU2FuIEpvc8OpLSBBbmNhc2ggUGVyw7o%3D
Ancash,Fiesta de Santo Toribio de Mogrovejo,REALIZARÁN PEREGRINACIÓN AL SANTUARIO DE SANTO TORIBIO DE MOGROVEJO DE CHINCHAS,https://www.youtube.com/watch?v=AsaLQUdrwJw&pp=ygUxRmllc3RhIGRlIFNhbnRvIFRvcmliaW8gZGUgTW9ncm92ZWpvIEFuY2FzaCBQZXLDug%3D%3D
Ancash,Santo Toribio,PLAZA MAYOR DE SANTO TORIBIO - ANCASH,https://www.youtube.com/watch?v=y675tP96fFg&pp=ygUaU2FudG8gVG9yaWJpbyBBbmNhc2ggUGVyw7o%3D
Ancash,"Día del Milagro, Santo Toribio",PROCESION DIA CENTRAL 2018 - SANTO TORIBIO ANCASH - PERÚ,https://www.youtube.com/watch?v=4_EnvfAGJ8Y&pp=ygUsRMOtYSBkZWwgTWlsYWdybywgU2FudG8gVG9yaWJpbyBBbmNhc2ggUGVyw7o%3D
Ancash,"El Señor de Mayo y la Exaltación
de la Santísima cruz",PROCESIÓN EN HONOR AL SEÑOR DE LA EXALTACIÓN DE LA SANTA CRUZ,https://www.youtube.com/watch?v=srkhI-Kg9CQ&pp=ygVERWwgU2XDsW9yIGRlIE1heW8geSBsYSBFeGFsdGFjacOzbmRlIGxhIFNhbnTDrXNpbWEgY3J1eiBBbmNhc2ggUGVyw7o%3D
Ancash,Fiesta Patronal del Señor de Cahucayán,FESTIVIDAD EN HONOR AL SEÑOR DE CAYAC. AQUIA - BOLOGNESI - ANCASH - 2025 - RESIDENTES EN LIMA.,https://www.youtube.com/watch?v=sj7RdPVIN6M&pp=ygU1Rmllc3RhIFBhdHJvbmFsIGRlbCBTZcOxb3IgZGUgQ2FodWNhecOhbiBBbmNhc2ggUGVyw7o%3D
