Departamento,Actividad,Duración,Precio,Calificación,Reseñas,Enlace
Amazonas,"Manaos: Tour de 2, 3 o 4 días por la selva amazónica en el Anaconda Lodge",2 - 4 días • Grupo privado • Recogida disponible,200 USD,3.9,(604),https://www.getyourguide.es/manaos-l917/manaos-tour-de-2-3-o-4-dias-por-la-selva-amazonica-en-el-anaconda-lodge-t20181/?ranking_uuid=dd238086-b6dd-47c5-bbfa-e18291250928
Amazonas,Selva Amazónica: Excursión de 3 ó 4 días en Ipanema River Guest House,2 - 4 días • Grupo reducido • Recogida disponible,180 USD,4.1,(179),https://www.getyourguide.es/manaos-l917/excursion-de-4-dias-por-la-selva-amazonica-alojandote-en-casas-de-huespedes-del-rio-juma-t208404/?ranking_uuid=dd238086-b6dd-47c5-bbfa-e18291250928
Amazonas,Excursión de un día al río Amazonas y la Isla de los Monos,9 horas • Recogida disponible,185 USD,4.7,,https://www.getyourguide.es/leticia-l176618/excursion-de-un-dia-al-rio-amazonas-y-la-isla-de-los-monos-t975863/?ranking_uuid=dd238086-b6dd-47c5-bbfa-e18291250928
Amazonas,"Manaos: tour de 2, 3 o 4 días",2 - 4 días • Grupo reducido,220 USD,4.8,(31),https://www.getyourguide.es/manaos-l917/selva-amazonica-excursion-completa-de-2-3-o-4-dias-t712068/?ranking_uuid=dd238086-b6dd-47c5-bbfa-e18291250928
Amazonas,Manaos: Tour de día completo por el río Amazonas,1 día • Recogida disponible,55 USD,4.1,(284),https://www.getyourguide.es/manaos-l917/tour-de-dia-completo-por-el-rio-amazonas-desde-manaos-t20175/?ranking_uuid=dd238086-b6dd-47c5-bbfa-e18291250928
Amazonas,Desde Manaus: Excursión de un día a las Cascadas Presidente Figueiredo,12 horas • Recogida disponible,90 USD,4.2,(106),https://www.getyourguide.es/manaos-l917/desde-manaus-excursion-de-un-dia-a-las-cascadas-presidente-figueiredo-t226975/?ranking_uuid=dd238086-b6dd-47c5-bbfa-e18291250928
Amazonas,"Desde Manaus: Excursión de 3, 4 ó 5 días en el Albergue Tapiri Río Negro",3 - 5 días • Grupo reducido • Recogida disponible,680 USD,4.8,(55),https://www.getyourguide.es/manaos-l917/desde-manaus-excursion-de-3-4-o-5-dias-en-el-albergue-tapiri-rio-negro-t258237/?ranking_uuid=dd238086-b6dd-47c5-bbfa-e18291250928
Amazonas,Desde Manaus: Crucero de 3 ó 4 días por el río Negro y Anavilhanas,3 - 4 días • Grupo reducido • Recogida disponible,600 USD,4.6,(28),https://www.getyourguide.es/manaos-l917/crucero-de-4-dias-por-el-rio-negro-t208722/?ranking_uuid=dd238086-b6dd-47c5-bbfa-e18291250928
Amazonas,Manaos: Selva amazónica y caminata por el archipiélago de Anavilhanas,8 horas • Grupo reducido • Recogida disponible,132 USD,4.6,(53),https://www.getyourguide.es/manaos-l917/manaos-trekking-por-la-selva-amazonica-y-archipielago-de-anavilhanas-t74650/?ranking_uuid=dd238086-b6dd-47c5-bbfa-e18291250928
Amazonas,De Manaus a Santarém: 36 horas de ferry por el Amazonas,"1,5 días • Recogida disponible",140 USD,3.9,(39),https://www.getyourguide.es/manaos-l917/de-manaus-a-santarem-36-horas-de-ferry-por-el-amazonas-t290270/?ranking_uuid=dd238086-b6dd-47c5-bbfa-e18291250928
