Departamento,Mes,Temperatura,Clima,descripcion
Amazonas,Ene,15.197999999999999,Templado,"El departamento de Amazonas es reconocido por su gran biodiversidad, con sus bosques de neblina, su páramo y privilegiados microclimas. En su fauna destacan los osos andinos y el gallito de las rocas. En Amazonas, encontramos el famoso sitio arqueológico de Kuélap, ciudadela construida entre los Andes y la Selva y que ya puede ser visitada a través de un teleférico. Por otro lado, esta zona de la selva peruana posee increíbles paisajes, lagunas gigantescas y majestuosas cataratas como Yumbilla y Gocta."
Amazonas,Feb,15.413999999999998,Templado,"El departamento de Amazonas es reconocido por su gran biodiversidad, con sus bosques de neblina, su páramo y privilegiados microclimas. En su fauna destacan los osos andinos y el gallito de las rocas. En Amazonas, encontramos el famoso sitio arqueológico de Kuélap, ciudadela construida entre los Andes y la Selva y que ya puede ser visitada a través de un teleférico. Por otro lado, esta zona de la selva peruana posee increíbles paisajes, lagunas gigantescas y majestuosas cataratas como Yumbilla y Gocta."
Amazonas,Mar,15.25,Templado,"El departamento de Amazonas es reconocido por su gran biodiversidad, con sus bosques de neblina, su páramo y privilegiados microclimas. En su fauna destacan los osos andinos y el gallito de las rocas. En Amazonas, encontramos el famoso sitio arqueológico de Kuélap, ciudadela construida entre los Andes y la Selva y que ya puede ser visitada a través de un teleférico. Por otro lado, esta zona de la selva peruana posee increíbles paisajes, lagunas gigantescas y majestuosas cataratas como Yumbilla y Gocta."
Amazonas,Abr,14.99,Frío,"El departamento de Amazonas es reconocido por su gran biodiversidad, con sus bosques de neblina, su páramo y privilegiados microclimas. En su fauna destacan los osos andinos y el gallito de las rocas. En Amazonas, encontramos el famoso sitio arqueológico de Kuélap, ciudadela construida entre los Andes y la Selva y que ya puede ser visitada a través de un teleférico. Por otro lado, esta zona de la selva peruana posee increíbles paisajes, lagunas gigantescas y majestuosas cataratas como Yumbilla y Gocta."
Amazonas,May,15.106,Templado,"El departamento de Amazonas es reconocido por su gran biodiversidad, con sus bosques de neblina, su páramo y privilegiados microclimas. En su fauna destacan los osos andinos y el gallito de las rocas. En Amazonas, encontramos el famoso sitio arqueológico de Kuélap, ciudadela construida entre los Andes y la Selva y que ya puede ser visitada a través de un teleférico. Por otro lado, esta zona de la selva peruana posee increíbles paisajes, lagunas gigantescas y majestuosas cataratas como Yumbilla y Gocta."
Amazonas,Jun,14.534,Frío,"El departamento de Amazonas es reconocido por su gran biodiversidad, con sus bosques de neblina, su páramo y privilegiados microclimas. En su fauna destacan los osos andinos y el gallito de las rocas. En Amazonas, encontramos el famoso sitio arqueológico de Kuélap, ciudadela construida entre los Andes y la Selva y que ya puede ser visitada a través de un teleférico. Por otro lado, esta zona de la selva peruana posee increíbles paisajes, lagunas gigantescas y majestuosas cataratas como Yumbilla y Gocta."
Amazonas,Jul,14.474,Frío,"El departamento de Amazonas es reconocido por su gran biodiversidad, con sus bosques de neblina, su páramo y privilegiados microclimas. En su fauna destacan los osos andinos y el gallito de las rocas. En Amazonas, encontramos el famoso sitio arqueológico de Kuélap, ciudadela construida entre los Andes y la Selva y que ya puede ser visitada a través de un teleférico. Por otro lado, esta zona de la selva peruana posee increíbles paisajes, lagunas gigantescas y majestuosas cataratas como Yumbilla y Gocta."
Amazonas,Ago,14.947999999999999,Frío,"El departamento de Amazonas es reconocido por su gran biodiversidad, con sus bosques de neblina, su páramo y privilegiados microclimas. En su fauna destacan los osos andinos y el gallito de las rocas. En Amazonas, encontramos el famoso sitio arqueológico de Kuélap, ciudadela construida entre los Andes y la Selva y que ya puede ser visitada a través de un teleférico. Por otro lado, esta zona de la selva peruana posee increíbles paisajes, lagunas gigantescas y majestuosas cataratas como Yumbilla y Gocta."
Amazonas,Sep,15.389999999999997,Templado,"El departamento de Amazonas es reconocido por su gran biodiversidad, con sus bosques de neblina, su páramo y privilegiados microclimas. En su fauna destacan los osos andinos y el gallito de las rocas. En Amazonas, encontramos el famoso sitio arqueológico de Kuélap, ciudadela construida entre los Andes y la Selva y que ya puede ser visitada a través de un teleférico. Por otro lado, esta zona de la selva peruana posee increíbles paisajes, lagunas gigantescas y majestuosas cataratas como Yumbilla y Gocta."
Amazonas,Oct,15.532,Templado,"El departamento de Amazonas es reconocido por su gran biodiversidad, con sus bosques de neblina, su páramo y privilegiados microclimas. En su fauna destacan los osos andinos y el gallito de las rocas. En Amazonas, encontramos el famoso sitio arqueológico de Kuélap, ciudadela construida entre los Andes y la Selva y que ya puede ser visitada a través de un teleférico. Por otro lado, esta zona de la selva peruana posee increíbles paisajes, lagunas gigantescas y majestuosas cataratas como Yumbilla y Gocta."
